Indicator,Vehicle Actvity Number,Company Code,Fiscal Year,Reverse Date,Vehicle Code,Job Code,Target Alokasi Biaya,Location Code,Vehicle Date,Vehicle Time,HM/KM,Unit,UoM,Reference,Remarks,Plant,Cancelled/Reversed,Operator,Helper 1,Helper 2,Measurement document,Document Number,Nomor SPBS,Tgl Angkut,Antar Kebun,Destination Plant,Created by,Created on,Changed by,Changed on
,0100281977,PALM,2026,6/2/2026,2000014797,14107,FF,232,6/2/2026,08.10.00,8.00,0,HM,,bentuk Jalan Poros  dan P,5E17,,13005422,0,0,10209358,2321170172,,6/2/2026,,,MK171504,6/3/2026,MK171504,6/3/2026
,0100281978,PALM,2026,6/2/2026,2000014814,14107,FF,232,6/2/2026,08.10.00,8.00,0,HM,,Pemadatan Jalan Poros Afd,5E17,,13003922,0,0,10209359,2321170173,,6/2/2026,,,MK171504,6/3/2026,MK171504,6/3/2026
,0100281982,PALM,2026,6/2/2026,2000021346,14802,FF,519,6/2/2026,16.20.00,45.00,"6,440",KG,,ANGKUT TBS,5E08,,13001085,0,0,10209434,2321184447,0000000000000000000000000000000000000104,6/2/2026,,,MK081502,6/3/2026,MK081502,6/3/2026
,0100281983,PALM,2026,6/2/2026,2000021346,14802,FF,253,6/2/2026,22.36.00,130.00,"4,320",KG,,ANGKUT TBS,5E08,,13001085,0,0,10209435,2321184448,0000000000000000000000000000000000000130,6/2/2026,,,MK081502,6/3/2026,MK081502,6/3/2026
,0100281984,PALM,2026,6/1/2026,2000021347,14802,FF,116,6/1/2026,14.32.00,55.00,"2,850",KG,,ANGKUT TBS,5E08,,13006220,0,0,10209433,2321184446,0000000000000000000000000000000000000051,6/1/2026,,,MK081502,6/3/2026,MK081502,6/3/2026
,0100281985,PALM,2026,6/2/2026,2000021347,14802,FF,412,6/2/2026,15.06.00,50.00,"5,470",KG,,ANGKUT TBS,5E08,,13006220,0,0,10209436,2321184449,0000000000000000000000000000000000000079,6/2/2026,,,MK081502,6/3/2026,MK081502,6/3/2026
,0100281986,PALM,2026,6/2/2026,2000021347,14802,FF,124,6/2/2026,15.08.00,55.00,"7,190",KG,,ANGKUT TBS,5E08,,13006220,0,0,10209437,2321184450,0000000000000000000000000000000000000080,6/2/2026,,,MK081502,6/3/2026,MK081502,6/3/2026
,0100281987,PALM,2026,6/2/2026,2000014795,14106,FF,222,6/2/2026,08.00.00,8.00,"1,200",M,,,5E15,,0,0,0,10209226,2321196093,,,,,MK151504,6/3/2026,MK151504,6/3/2026
,0100281988,PALM,2026,6/1/2026,2000014509,,CC,5E15BT15KS,6/1/2026,07.30.00,451.00,0,,,Melayani Manajer Pulang D,5E15,,0,0,0,10209225,2321196092,,,,,MK151504,6/3/2026,MK151504,6/3/2026
,0100281989,PALM,2026,6/2/2026,2000014509,,CC,5E15BT15KS,6/2/2026,07.30.00,122.00,0,,,Dinas Banjarbaru,5E15,,0,0,0,10209227,2321196094,,,,,MK151504,6/3/2026,MK151504,6/3/2026
,0100281990,PALM,2026,6/2/2026,2000021420,14506,FF,343,6/2/2026,08.00.00,75.00,0,KG,,Angkut Tankos Afdeling II,5E15,,0,0,0,10209228,2321196095,0000000000000000000000000000000000000001,6/2/2026,,,MK151504,6/3/2026,MK151504,6/3/2026
,0100281991,PALM,2026,6/2/2026,2000021419,14506,FF,343,6/2/2026,11.00.00,75.00,0,KG,,Angkut Tankos Afdeling II,5E15,,0,0,0,10209229,2321196096,0000000000000000000000000000000000000001,6/2/2026,,,MK151504,6/3/2026,MK151504,6/3/2026
,0100281992,PALM,2026,6/2/2026,2000014812,14107,FF,222,6/2/2026,08.00.00,"1,200.00",0,M,,Pengerasan Jalan,5E15,,0,0,0,10209230,2321196097,,,,,MK151504,6/3/2026,MK151504,6/3/2026
,0100282005,PALM,2026,6/3/2026,2000014198,,CC,5E01BT15KS,6/3/2026,06.00.00,24.00,0,KM,1,Dinas Ke  AFD I -  AFD VI,5E01,,0,0,0,10251010,2322420028,I  -   VIII,6/3/2026,,,MK011504,6/3/2026,MK011504,6/20/2026
,0100282006,PALM,2026,6/1/2026,2000015098,14803,FF,304,6/1/2026,08.30.00,6.30,"8,120",KG,1,Langsir Afd 3,5E01,,0,0,0,10209465,2321196425,Traktor,6/1/2026,,,MK011504,6/3/2026,MK011504,6/3/2026
,0100282007,PALM,2026,6/2/2026,2000015098,14803,FF,306,6/2/2026,08.30.01,7.50,"10,500",KG,1,Langsir Afd 3,5E01,,0,0,0,10251050,2322424050,Traktor,6/2/2026,,,MK011504,6/3/2026,MK011504,6/20/2026
,0100282008,PALM,2026,6/1/2026,2000021304,14802,FF,210,6/1/2026,13.16.00,31.00,"6,640",KG,1,Angkut TBS Afd 2,5E01,,0,0,0,10209466,2321196426,TBS,6/1/2026,,,MK011504,6/3/2026,MK011504,6/3/2026
,0100282009,PALM,2026,6/2/2026,2000021304,14802,FF,186,6/2/2026,17.10.00,60.00,"5,150",KG,1,Angkut TBS Afd 8,5E01,,0,0,0,10251051,2322424051,TBS,6/2/2026,,,MK011504,6/3/2026,MK011504,6/20/2026
