 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
,,Dump Truck KB 8491 WA,2000021390,5E18DTR003,,Aktif,Jalan / Baik,Sewa,,DTR,5E18,,,,
,,Dump Truck KT 8869 KE,2000021392,5E18DTR005,,Aktif,Jalan / Baik,Sewa,,DTR,5E18,,,,
,,Excavator CAT 320 D,2000014837,5E18EXC001,,Aktif,Jalan / Baik,Sewa,,EXC,5E18,,,,
,,Mitsubishi Grader MG 330,2000014798,5E18GRA001,,Aktif,Patah dudukan pisau,Sewa,,GRA,5E18,,,,
,,Quick Truck 1,2000015068,5E18QUT001,,Aktif,,,,QUT,5E18,,,,
,,Quick Truck 2,2000021537,5E18QUT002,Mati,Tidak Ada BA,Jalan / Baik,Sewa,,,5E18,,,,
,,Quick Truck 3,2000021538,5E18QUT003,Mati,Tidak Ada BA,Rusak,Sewa,,,5E18,,,,
,,Tractor Kubota RD 110 DI 2T,2000015178,5E18TRA001,Mati,Tidak Ada BA,,,,,5E18,,,,
,,Mobil Manager KB 8087 DM,2000014524,5E18CAR002,BK 8171 JF berubah KB 8087 DM,Aktif,,,,CAR,5E18,,,,
,,Dump Truck KT 8944 LK,2000021393,5E18DTR006,,Aktif,Jalan / Baik,Sewa,,DTR,5E18,,,,
,,Dump Truck KT 8047 YE,2000021394,5E18DTR007,,Aktif,Jalan / Baik,Sewa,,DTR,5E18,,,,
11,Longkali,Mobil Manager KT 8476 YK,2000014528,5E19CAR001,Mati,Aktif,Rusak,Sewa,,CAR,5E19,,,,
,,Vibrator Roller 1,2000014816,5E19COM001,,Aktif,Perbaikan,Inventaris,,COM,5E19,,,,
,,Dump Truck KT 8518 CW,2000021379,5E19DTR002,,Aktif,Baik,Sewa,,DTR,5E19,,,,
,,Dump Truck KT 8517 CW,2000021380,5E19DTR003,,Aktif,Baik,Sewa,,DTR,5E19,,,,
,,Excavator,2000014838,5E19EXC001,,Aktif,Baik,Sewa,,EXC,5E19,,,,
,,Road Grader 1,2000014799,5E19GRA001,,Aktif,Perbaikan,Inventaris,,GRA,5E19,,,,
,,Quick Truck 1 AFD 1.A,2000015083,5E19QUT001,,Aktif,Baik,Sewa,,QUT,5E19,,,,
,,Quick Truck 2 AFD 2.A,2000021532,5E19QUT002,,Aktif,Baik,Sewa,,QUT,5E19,,,,
,,Quick Truck 3 AFD 3.A,2000021533,5E19QUT003,,Aktif,Baik,Inventaris,,QUT,5E19,,,,
,,Quick Truck 4 AFD 4,2000021534,5E19QUT004,,Aktif,Baik,Sewa,,QUT,5E19,,,,
,,Quick Truck 5 AFD 5.A,2000021535,5E19QUT005,,Aktif,Baik,Sewa,,QUT,5E19,,,,
,,Quick Truck 6 AFD 6,2000021536,5E19QUT006,,Aktif,Baik,Sewa,,QUT,5E19,,,,
,,Quick Truck 7 AFD 3.B,2000015089,5E19QUT007,Mati,Aktif,Rusak,Sewa,,QUT,5E19,,,,
,,Qucik Truck 9 AFD 5.B,2000015091,5E19QUT009,Mati,Aktif,Rusak,Sewa,,QUT,5E19,,,,
,,Qucik Truck 10 AFD 1.B,2000022744,5E19QUT010,Mati,Tidak Ada BA,Rusak,Sewa,,,,,,,
,,Qucik Truck 11 AFD 2.B,2000022745,5E19QUT011,Mati,Tidak Ada BA,Baik,Sewa,,,,,,,
,,Quick 13(Quick Afd 5.B),2000023335,5E19QUT012,diganti ke 2000023344 karna KM,Aktif,Baik,Sewa,,,,,,,
,,Quick 13(Quick Afd 5.B),2000023344,5E19QUT013,,Aktif,,,,,,,,,
,,Mobil Manager BK 8179 JE,2000014529,5E19CAR002,,Aktif,Baik,Sewa,,CAR,5E19,,,,
,,Quick Afd 2.A,2000023465,5E19QUT014,,,,,,,,,,,
,,Quick Afd 2.B,2000023466,5E19QUT015,,,,,,,,,,,
,,Quick 4,2000023467,5E19QUT016,,,,,,,,,,,
,,Quick 6,2000023468,5E19QUT017,,,,,,,,,,,
19,PKS Gunung Meliau,Wheel Loader,2000015518,5F01WLO001,,Aktif,Baik,Sewa,,WLO,5F01,,,,
,,Mobil Manager DA 8471 ZL,2000022929,5F01CAR002, DA 8527 WB berubah DA 8471 ZL,Tidak Ada BA,Baik,Sewa,,CAR,5F01,,,,
,,Mobil Triton KB 8292 DM,2000023042,5F01CAR003,,Aktif,Baik,Sewa,,,,,,,
,,Wheel Loader Cabin AC HL635L (eks PKS Rimba Belian),2000023337,5F01WLO002,Mati,Mati,,,,,,,,,
,,Wheel Loader Cabin AC HL635L (eks PKS Rimba Belian),2000023345,5F01WLO003,Ganti CC baru WLO002 karna KM,Aktif,,,,,,,,,
,,Dump Truck KB 8657 WC,2000021458,5F01DTR003,,Aktif,,,,,,,,,
20,PKS Rimba Belian,Mobil Manager DA 8178 YD,2000015392,5F04CAR001,Mati,Tidak Ada BA,Baik,Sewa,,CAR,5F04,,,,
,,Wheel Loader CHANLIN 937 H,2000022616,5F04WLO001,,Aktif,Baik,Sewa,,WLO,5F04,,,,
,,Mobil Manager KB 123 XY,2000022819,5F04CAR002,,Aktif,Baik,Sewa,,CAR,5F04,,,,
,,Triton BK 8712 JF ,2000022932,5F04CAR003,Mati,Tidak Ada BA,Baik,Sewa,,CAR,5F04,,,,
,,Dump Truck KB 711 XX,2000021465,5F04DTR005,,Aktif,Baik,Sewa,,,5F04,,,,
23,PKS Ngabang,Mobil Manager KT8093EM,2000015397,5F07CAR001,Mati,Tidak Ada BA,Perbaikan,Sewa,,,5F07,,,,
,,Truck Tangki KB 8059 AZ,2000021473,5F07DTR003,Mati,Tidak Ada BA,Baik,Pinjam,,,5F07,,,,
,PKS Ngabang,Wheel Loader Hyundai HL 635L (ex. Pamukan),2000023115,5F07WLO002,,Aktif,Baik,Sewa,,,,,,,
,,Wheel Loader,2000022617,5F07WLO001,,Aktif,Baik,Sewa,,WLO,5F07,,,,
,,Mits. Strda Triton 2.5L DC KB 8261 HM,2000022862,5F07CAR002,Mati,Aktif,Baik,Sewa,,CAR,5F07,,,,
,,Mits. Strada Triton 2.5L DC KB 8293 DM,2000023043,5F07CAR003,KB 8775 FV berubah KB 8293 DM,Aktif,Baik,Sewa,,,5F07,,,,
,,Dump Truck Mitsubishi KB 8130 WD,2000021474,5F07DTR004,KN 700 XY berubah KB 8130 WD,Aktif,Baik,Sewa,,,5F07,,,,
21,PKS Parindu,Mobil Pool KB 1508 WE,2000015403,5F08CAR001,Mati,Aktif,Rusak,Sewa,,CAR,5F08,,,,
,,Mobil Manager KB 8115 HM,2000015404,5F08CAR002,Mati,Aktif,Rusak,Sewa,,CAR,5F08,,,,
,,Wheel Loader Hyundai,2000022618,5F08WLO001,,Aktif,Baik,Sewa,,WLO,5F08,,,,
,,Mobil Poll KB 8352 HM,2000022910,5F08CAR003,,Aktif,Baik,Sewa,,CAR,5F08,,,,
22,PKS Kembayan,Mobil Manajer KB 8624 AY,2000015535,5F09CAR001,,Tidak Ada BA,Baik,Inventaris,,CAR,5F09,,,,
,PKS Kembayan,Dump Truck KB 9824 DR,2000015540,5F09DTR001,,Aktif,Baik,Sewa,,DTR,5F09,,,,
,,Dump Truck KB 8379 SF,2000015541,5F09DTR002,,Aktif,Baik,Sewa,,DTR,5F09,,,,
,,Exavator Liu Gog PC 75,2000015555,5F09EXC001,,Aktif,Baik,Sewa,,EXC,5F09,,,,
,,Wheel Loader Liu Gong PC 200,2000015556,5F09WLO001,,Aktif,Baik,Sewa,,WLO,5F09,,,,
,,Dump Truck KB 9830 DQ,2000022828,5F09DTR003,,Aktif,Baik,Sewa,,DTR,5F09,,,,
,,Dump Truck KB 799 XX,2000022952,5F09DTR004,,Aktif,Baik,Sewa,,,5F09,,,,
,,Mobil Manager BK 8776 FV,2000023018,5F09CAR002,,Aktif,Baik,Sewa,,,5F09,,,,
27,PKS Pamukan,Wheel Loader,2000022619,5F14WLO001,,Aktif,Aktif,Sewa,,WLO,5F14,,,,
,,Mobil Manager DA 8528 WB,2000022911,5F14CAR002,DA 8015 BT berubah DA 8528 WB,Aktif,Aktif,,,CAR,5F14,,,,
26,PKS Pelaihari,Mobil Manager KB 8923 WA,2000015412,5F15CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5F15,,,,
,PKS Pelaihari,Wheel Loader Hyundai HL 635 L,2000022620,5F15WLO001,,Aktif,Baik,Sewa,,WLO,5F15,,,,
,,Mobil Manager BK 8770 JF,2000022822,5F15CAR002,,Aktif,Baik,Sewa,,CAR,5F15,,,,
17,Tambarangan,Mobil Manager DA 8020CJ,2000015417,5F20CAR001,Mati,Aktif,Baik,Sewa,,CAR,5F20,,,,
,PKS Samuntai,Mitsubishi Triton DA 8471 ZL,2000015423,5F21CAR001,Mati,Tidak Ada BA,,,,,5F21,,,,
24,PKS Samuntai,Wheel Loader  ,2000022622,5F21WLO001,,Aktif,Baik,Sewa,,WLO,5F21,,,,
25,PKS Longpinang,Mobil Manajer KT 8134 YF,2000022615,5F22CAR001,Mati,Tidak Ada BA,Bak,Sewa,,,5F22,,,,
,PKS Longpinang,Dump Truck DA 8906 CY,2000021468,5F22DTR003,,Aktif,Baik,Sewa,,DTR,5F22,,,,
,,Wheel Loader Hyundai HE 635 L,2000022623,5F22WLO001,,Aktif,Baik,Sewa,,WLO,5F22,,,,
,,Mobil Manager BK 8172 JE,2000022748,5F22CAR002,,Aktif,Baik,Sewa,,CAR,5F22,,,,
26,DIstrik Kalimantan Barat,Dump Truck KB 8476 WC,2000022657,5D01DTR001,Mati,Mati,Baik,,,DTR,5D01,,,,
,,Dump Truck KB 8459 WC,2000022658,5D01DTR002,Mati,Mati,Baik,,,DTR,5D01,,,,
,,Dump Truck KB 8645 WC,2000022691,5D01DTR003,Mati,Mati,Baik,,,DTR,5D01,,,,
,,Dump Truck KB 8657 WC,2000022692,5D01DTR004,Mati,Mati,Baik,,,DTR,5D01,,,,
,,Pajero KB 1028 QP,2000022667,5D01CAR001,,Aktif,Baik,,,CAR,5D01,,,,
,,Inova DA 1643 AY,2000022668,5D01CAR002,Mati,Tidak Ada BA,Baik,,,,5D01,,,,
,,Triton KB 8261 HM,2000022712,5D01CAR003,5D01AU17UG,Aktif p3bb,Baik,Sewa P3BB,,CAR,5D01,,,,
,,Honda WR 155 KB 4262 XD,2000022659,5D01MOT001,,Aktif,Baik,,,MOT,5D01,,,,
,,Mitsubishi Triton KT 8987 YH,2000022896,5D01CAR004,,Aktif,,,,CAR,5D01,,,,
,,Triton KB 8108 DM,2000022922,5D01CAR005,Aktif,Aktif p3bb,929 Beban Operasi Lain,P3BB aktif dia sendiri buat logbooknya,BK 8714 JF berubah KB 8108 DM MATI R5OBOL101,CAR,5D01,,,,
,,Mobil Pool Triton KB 8602 AW,2000022923,5D01CAR006,5D01AU17UG,Sewa KKS,Sewa KKS,,,CAR,5D01,,,,
27,Distrik Kalimantan Timur,Pajero KB 1786 QW,2000022660,5D02CAR001,,Aktif,,,,CAR,5D02,,,,
,,Triton KT 8269 OR,2000022661,5D02CAR002,Mati,Tidak Ada BA,,,,CAR,5D02,,,,
,,Pajero B 2476 SJI,2000022700,5D02CAR003,,Aktif,,,,CAR,5D02,,,,
,,Triton KB 8086 DM,2000022747,5D02CAR004,BK 8175 JE ke KB 8086 DM,Aktif,,,,CAR,5D02,,,,
,,Triton KB 8326 WA,2000022847,5D02CAR005,,Aktif,,,,CAR,5D02,,,,
28,Distrik Kalimantan Selatan,Mobil Dinas Manager B 1875 TJT,2000022662,5D03CAR001,Mati,Tidak Ada BA,,,,,5D03,,,,
,Distrik Kalimantan Selatan,Mobil Poll KB 1287 WZ,2000022663,5D03CAR002,,Aktif,,,,CAR,5D03,,,,
,,Mobil Dinas PMO DA 8163 KJ,2000022664,5D03CAR003,,Aktif, ,,,CAR,5D03,,,,
,,Triton DA 8485 YC,2000022713,5D03CAR004,Mati 5F11SU0402,Tidak Ada BA,,Sewa Raren,,,5D03,,,,
,,Mobil Group Manager KB 1841 DM,2000022841,5D03CAR005,BK 1179 AWA berubah KB 1841 DM,Aktif,,,,CAR,5D03,,,,
,,Mobil Pool KB 8923 WA,2000022842,5D03CAR006,,Aktif,,,,CAR,5D03,,,,
,,,,,,,,,,,,,,,
,,,Kenedaraan PMO mnasuk ke R5OBOL101,,929 Beban Operasi Lain,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,
