 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
,,Mobil Ambulance KB 9052 AO,2000014395,5E04CAR003,,Aktif,Baik,Sewa,,CAR,5E04,,,,
,,Vibrator Roller 1,2000014803,5E04COM001,,Aktif,Baik,Inventaris,,COM,5E04,,,,
,,Truck KB 8147 AW,2000021330,5E04DTR003,,Aktif,Baik,Sewa,,DTR,5E04,,,,
,,Truck KB 8593 AY,2000021332,5E04DTR005,,Aktif,Baik,Sewa,,DTR,5E04,,,,
,,Excavator 1,2000014825,5E04EXC001,,Aktif,Baik,Sewa,,EXC,5E04,,,,
,,Road Grader 1,2000014786,5E04GRA001,,Aktif,Baik,Inventaris,,GRA,5E04,,,,
,,Quick Truck 2,2000021507,5E04QUT002,Mati,Aktif,Rusak/Perbaikan,Inventaris,,QUT,5E04,,,,
,,Quick Truck 3,2000021508,5E04QUT003,,Aktif,Rusak/Perbaikan,Sewa,,QUT,5E04,,,,
,,Quick Truck 4,2000021509,5E04QUT004,,Aktif,Baik,Sewa,,QUT,5E04,,,,
,,TRB 1,2000015113,5E04TRB001,Mati,Aktif,Dipinjam Kebun Parindu,Sewa,,TRB,5E04,,,,
15,Sintang,Mobil Manager KB 8302 HE,2000014398,5E06CAR001,,Aktif,Baik,Sewa,,CAR,5E06,,,,
7,Ngabang,Mobil Manager B 9647 NBA,2000014403,5E07CAR001,,Aktif,Baik,Sewa,,CAR,5E07,,,,
,,Vibrator Roller 1,2000014805,5E07COM001,Mati,Aktif,Perlu dilakukan perbaikan,Inventaris,,COM,5E07,,,,
,,Mobil Tangki KB 9527 QL,2000021359,5E07DTR002,,Aktif,Perlu dilakukan perbaikan,Inventaris,,DTR,5E07,,,,
,,Dump Truck KB 8138 AY,2000021362,5E07DTR005,Mati,Tidak Ada BA,Perlu dilakukan perbaikan,Sewa,,,5E07,,,,
,,Dump Truck KB 8336 AY,2000021364,5E07DTR007,Mati,Tidak Ada BA,Perlu dilakukan perbaikan,Sewa,,,5E07,,,,
,,Road Grader 1,2000014788,5E07GRA001,,Aktif,Perlu dilakukan perbaikan,Inventaris,,GRA,5E07,,,,
,,Honda CRF 150LKB 3967 XC,2000022565,5E07MOT001,Mati,Tidak Ada BA,Perlu dilakukan perbaikan,,,,5E07,,,,
,,Honda CRF 150LKB 3966 XC,2000022566,5E07MOT002,Mati,Tidak Ada BA,Perlu dilakukan perbaikan,,,,5E07,,,,
,,Honda CRF 150L KB 5486 XD,2000022567,5E07MOT003,Mati,Tidak Ada BA,Baik,Sewa,,,5E07,,,,
,,Honda CRF 150L KB 5487 XD,2000022568,5E07MOT004,Mati,Tidak Ada BA,Baik,Sewa,,,5E07,,,,
,,Quick Truck 01,2000021522,5E07QUT002,,Aktif,Perlu dilakukan perbaikan,Sewa,,QUT,5E07,,,,
,,Quick Truck 02,2000021523,5E07QUT003,,Aktif,Perlu dilakukan perbaikan,Sewa,,QUT,5E07,,,,
,,Quick Truck 03,2000021524,5E07QUT004,,Aktif,Perlu dilakukan perbaikan,Sewa,,QUT,5E07,,,,
,,Quick Truck 04,2000021525,5E07QUT005,,Aktif,Perlu dilakukan perbaikan,Inventaris,,QUT,5E07,,,,
,,Mower,2000015123,5E07TRA001,,Aktif,Perlu dilakukan perbaikan,Inventaris,,TRA,5E07,,,,
,,Dump Truck KB 8865 WC,2000021366,5E07DTR009,,Aktif,Baik,Sewa,,DTR,5E07,,,,
,,Dump Truck KB 8894 WC,2000021367,5E07DTR010,,Aktif,Baik,Sewa,,DTR,5E07,,,,
,,Quick Truck 05,2000022950,5E07QUT006,,Aktif,Baik,Sewa,,,5E07,,,,
,,Quick Truck 06,2000022951,5E07QUT007,,Aktif,Baik,Sewa,,,5E07,,,,
,,Mobil Pool DA 8527 WB,2000023057,5E07CAR004,KB 8261 HM berrubah DA 8527 WB,Aktif,Baik,,,,5E07,,,,
,,Mobil Manajer KB 8114 DM,2000023381,5E07CAR005,,Aktif,Baik,,,,,,,,
,,Quick Truck 8,2000023460,5E07QUT008,,,,,,,,,,,
,,Quick truck 9,2000023461,5E07QUT009,,,,,,,,,,,
,,Quick truck 10,2000023463,5E07QUT010,,,,,,,,,,,
5,Parindu,Mobil Manajer KB 8602 AW,2000014408,5E08CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E08,,,,
,Parindu,Vibrator Roller 1,2000014806,5E08COM001,Mati,Aktif,Rusak,Inventaris,,COM,5E08,,,,
,,Dump Truck KB 8263 AU,2000021339,5E08DTR002,Mati,Mati,Baik,Sewa,,DTR,5E08,,,,
,,Dump Truck KB 8762 AY,2000021343,5E08DTR006,,Aktif,Baik,Sewa,,DTR,5E08,,,,
,,Dump Truck KB 8137 AY,2000021344,5E08DTR007,,Aktif,Baik,Sewa,,DTR,5E08,,,,
,,Truck Tangki KB 9066 SFA,2000021345,5E08DTR008,Mati,Tidak Ada BA,Rusak,Inventaris,,,5E08,,,,
